Patron_1;Patron_2;Patron_3;Patron_4;CurrentPlayerPrestige;CurrentPlayerDeck_PrestigeStrength;CurrentPlayerDeck_PowerStrength;CurrentPlayerDeck_GoldStrength;CurrentPlayerDeck_MiscStrength;CurrentPlayerDeckComboProportion;CurrentPlayerAgent_PowerStrength;CurrentPlayerAgent_GoldStrength;CurrentPlayerAgent_MiscStrength;CurrentPlayerPatronFavour;OpponentPrestige;OpponentDeck_PrestigeStrength;OpponentDeck_PowerStrength;OpponentDeck_GoldStrength;OpponentDeck_MiscStrength;OpponentAgent_PowerStrength;OpponentAgent_GoldStrength;OpponentAgent_MiscStrength;OpponentPatronFavour;WinProbability
0;1;4;6;8;0;0.3392857142857143;1.3392857142857142;0.125;0.5;0;0;0;1;8;0;0;1.4285714285714286;0;0;0;0;0;1
0;1;4;6;12;0;0.31666666666666665;1.3833333333333333;0.11666666666666667;0.5333333333333333;0;0;0;1;8;0;0.21875;1.09375;0.1875;0;0;0;0;1
0;1;4;6;21;0;0.31666666666666665;1.3833333333333333;0.11666666666666667;0.5333333333333333;0;0;0;1;13;0;0.75;1.0833333333333333;0.1111111111111111;0;0;0;1;1
0;1;4;6;27;0;0.31666666666666665;1.3833333333333333;0.11666666666666667;0.5333333333333333;0;0;0;1;22;0;0.75;1.1944444444444444;0.1111111111111111;0;0;0;1;1
0;1;4;6;32;0;0.31666666666666665;1.3833333333333333;0.11666666666666667;0.5333333333333333;0;1.3;0;1;31;0;0;1.2222222222222223;0.2777777777777778;0;0;0;1;1
0;1;4;6;47;0;0.31666666666666665;1.3833333333333333;0.11666666666666667;0.5333333333333333;0;1.3;0;1;43;0;0.6388888888888888;1.3055555555555556;0;0;0;0;1;1
0;1;4;6;57;0;0.31666666666666665;1.3833333333333333;0.11666666666666667;0.5333333333333333;0;1.3;0;1;50;0;0.5555555555555556;1.2222222222222223;0.16666666666666666;0;0;0;1;1
0;1;4;6;77;0;0.31666666666666665;1.3833333333333333;0.11666666666666667;0.5333333333333333;0;1.3;0;1;65;0;0.75;1.0833333333333333;0.16666666666666666;0;0;0;1;1
0;1;4;6;0;0;0.1590909090909091;0.9772727272727273;0;0.45454545454545453;0;0;0;0;0;0;0.125;1.2916666666666667;0;0;0;0;0;0
0;1;4;6;1;0;0.1590909090909091;0.9772727272727273;0;0.45454545454545453;0;0;0;0;1;0;0.2916666666666667;1.125;0;0;0;0;0;0
0;1;4;6;4;0;0.1590909090909091;1.0681818181818181;0;0.45454545454545453;1.5;0;0;0;1;0;0;1.5714285714285714;0;0;0;0;0;0
0;1;4;6;5;0;0.1590909090909091;1.1590909090909092;0;0.45454545454545453;0;0;0;0;1;0;0;1.2857142857142858;0;0;0;0;0;0
0;1;4;6;6;0;0.1590909090909091;1.25;0;0.45454545454545453;0;0;0;0;3;0;0.59375;1.09375;0.09375;0;0;0;1;0
0;1;4;6;7;0;0.5625;1.1458333333333333;0;0.5;0;0;0;0;3;0;0.4166666666666667;1.0833333333333333;0.19444444444444445;0;0;0;1;0
