vs;MaltheMCTS/Settings13_fastforest_duel/NewModel;MaltheMCTS/Settings13_fastforest_duel/OldModel;Total Winrate %
MaltheMCTS/Settings13_fastforest_duel/NewModel;0;47.00;47
MaltheMCTS/Settings13_fastforest_duel/OldModel;53.00;0;53
