Patron_1;Patron_2;Patron_3;Patron_4;CurrentPlayerPrestige;CurrentPlayerDeck_PrestigeStrength;CurrentPlayerDeck_PowerStrength;CurrentPlayerDeck_GoldStrength;CurrentPlayerDeck_MiscStrength;CurrentPlayerDeckComboProportion;CurrentPlayerAgent_PowerStrength;CurrentPlayerAgent_GoldStrength;CurrentPlayerAgent_MiscStrength;CurrentPlayerPatronFavour;OpponentPrestige;OpponentDeck_PrestigeStrength;OpponentDeck_PowerStrength;OpponentDeck_GoldStrength;OpponentDeck_MiscStrength;OpponentAgent_PowerStrength;OpponentAgent_GoldStrength;OpponentAgent_MiscStrength;OpponentPatronFavour;WinProbability
4;5;6;7;1;0;0.2125;0.9;0;0.4;0;0;0;0;0;0;0.2;0.8;0;0;0;0;0;0
4;5;6;7;1;0;0.2125;0.9;0;0.4;0;0;0;0;0;0;0.2;0.8;0;0;0;0;0;1
4;5;6;7;2;0;0.2125;1;0;0.4;0;0;0;0;3;0;0.4;1;0;0;0;0;0;1
4;5;6;7;2;0;0.19035585001024521;1.1454545454545455;0.09767092411720513;0.45454545454545453;0;0;0;0;4;0;0.2;1.2;0;0;0;0;0;1
4;5;6;7;4;0;0.19035585001024521;1.2363636363636363;0.09767092411720513;0.45454545454545453;0;0;0;0;6;0;0.4;1;0;0;0;0;0;1
4;5;6;7;6;0;0.19035585001024521;1.3272727272727272;0.09767092411720513;0.45454545454545453;0;0;0;0;6;0;0;1.6;0;0;0;0;0;1
4;5;6;7;8;0.07692307692307693;0.2798921606386331;1.4;0.2662721893491125;0.5384615384615384;0;3.38;2.250000000000001;1;7;0;0.4;1.2;0;0;0;0;0;1
4;5;6;7;9;0.07692307692307693;0.2798921606386331;1.4769230769230772;0.2662721893491125;0.5384615384615384;0;3.38;2.250000000000001;1;7;0;0.2;1.2;0;0;0;0;1;1
4;5;6;7;12;0;0.17269483024691357;1.5166666666666666;0.3385416666666667;0.5;0;0;0;2;7;0;0.2;1.4;0;0;0;0;1;1
4;5;6;7;15;0;0.17269483024691357;1.5166666666666666;0.3385416666666667;0.5;0;0;0;2;7;0;1.1157407407407407;1;0.11574074074074071;0;0;0;0;1
