Patron_1;Patron_2;Patron_3;Patron_4;CurrentPlayerPrestige;CurrentPlayerDeck_PrestigeStrength;CurrentPlayerDeck_PowerStrength;CurrentPlayerDeck_GoldStrength;CurrentPlayerDeck_MiscStrength;CurrentPlayerDeckComboProportion;CurrentPlayerAgent_PowerStrength;CurrentPlayerAgent_GoldStrength;CurrentPlayerAgent_MiscStrength;CurrentPlayerPatronFavour;OpponentPrestige;OpponentDeck_PrestigeStrength;OpponentDeck_PowerStrength;OpponentDeck_GoldStrength;OpponentDeck_MiscStrength;OpponentAgent_PowerStrength;OpponentAgent_GoldStrength;OpponentAgent_MiscStrength;OpponentPatronFavour;WinProbability
0;1;2;4;0;0;0.35639642100949387;0.8863636363636364;0.06818181818181818;0.45454545454545453;0;0;0;1;0;0;0.2;1;0;0;0;0;0;0
0;1;2;4;0;0;0.35639642100949387;0.8863636363636364;0.06818181818181818;0.45454545454545453;0;0;0;1;0;0;0.2;1;0;0;0;0;0;0
0;1;2;4;0;0;0.35639642100949387;0.8863636363636364;0.06818181818181818;0.45454545454545453;0;0;0;1;0;0;0.2;1;0;0;0;0;0;0
0;1;2;4;0;0;0.35639642100949387;0.8863636363636364;0.06818181818181818;0.45454545454545453;0;0;0;1;0;0;0.2;1;0;0;0;0;0;1
0;1;2;4;0;0;0.35639642100949387;0.8863636363636364;0.06818181818181818;0.45454545454545453;0;0;0;1;0;0;0.2;1;0;0;0;0;0;1
0;1;2;4;0;0;0.35639642100949387;0.8863636363636364;0.06818181818181818;0.45454545454545453;0;0;0;1;0;0;0.2;1;0;0;0;0;0;1
0;1;2;4;0;0;0.35639642100949387;0.8863636363636364;0.06818181818181818;0.45454545454545453;0;0;0;1;0;0;0.2;1;0;0;0;0;0;1
0;1;2;4;0;0;0.35639642100949387;0.8863636363636364;0.06818181818181818;0.45454545454545453;0;0;0;1;0;0;0.2;1;0;0;0;0;0;1
0;1;2;4;0;0;0.35639642100949387;0.8863636363636364;0.06818181818181818;0.45454545454545453;0;0;0;1;0;0;0.2;1;0;0;0;0;0;1
0;1;2;4;0;0;0.4125;0.975;0.075;0.5;0;0;0;0;1;0;0.5;1.1666666666666667;0;0;0;0;0;0
0;1;2;4;2;0;0.35639642100949387;1.0681818181818181;0.14331329827197598;0.5454545454545454;0;0;0;0;2;0;0.47145061728395055;1.2083333333333333;0;0;0;0;0;0
0;1;2;4;2;0;0.35639642100949387;1.0681818181818181;0.14331329827197598;0.5454545454545454;0;0;0;0;6;0;0.125;0.9583333333333334;0;0;0;0;1;0
0;1;2;4;2;0;0.35639642100949387;1.0681818181818181;0.14331329827197598;0.5454545454545454;0;0;0;0;6;0;0.25812161599333605;1.1795501874219074;0;0;0;0;1;0
0;1;2;4;4;0;0.31389853395061723;0.9791666666666666;0.6422526041666666;0.5833333333333334;0;0;0;1;8;0;0.5244689712619741;1.3938359017076216;0;0;0;0;2;0
0;1;2;4;4;0.3627674101046882;0.2806624417912538;0.9038461538461539;0.4915437403883188;0.6153846153846154;0;0;0;1;12;0;1.5292586422324028;2.593544356518117;0;0;0;0;2;0
0;1;2;4;5;0.9041545189504373;0.25398271553519364;0.9107142857142857;0.38898040994823585;0.6428571428571429;0;0;0;1;12;0;1.2705078125;2.3267578125;0;0;0;0;2;0
0;1;2;4;8;0.9041545189504373;0.25398271553519364;0.9821428571428571;0.38898040994823585;0.6428571428571429;0;0;0;0;13;0;1.025339125133364;2.005532693187014;0.13717421124828533;0;0;0;3;0
0;1;2;4;1;0;0.2812649409193361;1.0909090909090908;0;0.45454545454545453;0;0;0;0;0;0;0.9629629629629628;0.7916666666666666;0.125;0;0;0;0;0
0;1;2;4;1;0;0.2812649409193361;1.0909090909090908;0;0.45454545454545453;0;0;0;0;0;0;0.9629629629629628;0.7916666666666666;0.125;0;0;0;0;1
0;1;2;4;2;0;0.2812649409193361;1.0909090909090908;0;0.45454545454545453;0;0;0;1;0;0;0.35;1.15;0;0;0;0;0;1
0;1;2;4;6;0;0.2812649409193361;1.0909090909090908;0;0.45454545454545453;0;0;0;1;2;0;0.4907407407407407;1;0.2407407407407407;0;0;0;0;1
0;1;2;4;6;0;0.3958815586419752;1.2606867283950616;0;0.5;0;0;0;1;2;0;0.5871913580246914;1.1666666666666667;0.2407407407407407;0;0;0;0;1
0;1;2;4;8;0;0.3958815586419753;1.2606867283950616;0;0.5;0;0;0;2;2;0;0.09645061728395059;1.1666666666666667;0;0;0;0;0;1
0;1;2;4;12;0;0.3958815586419752;1.344020061728395;0;0.5;2.433449074074073;4.535949074074073;0;2;4;0;0.7201166180758017;0.8214285714285714;0.3392485273992979;0;0;0;1;1
0;1;2;4;12;0;0.509759812331501;1.4630755225657366;0;0.5384615384615384;0;0;0;2;4;0.94140625;0.330078125;0.875;0.09375;0;0;0;1;1
0;1;2;4;13;0;0.633030508121616;1.7497735318617242;0.08199708454810495;0.5714285714285714;0;0;0;3;5;0.7311385459533608;0.1023853071178174;0.9722222222222222;1.7914951989026058;0;0;0;0;1
0;1;2;4;13;0;0.633030508121616;1.7497735318617242;0.08199708454810495;0.5714285714285714;0;0;0;4;8;2.92;0.4;0.575;0.375;0;0;0;0;1
0;1;2;4;0;0.07513148009015778;0.07671948637388157;1.25;0.07513148009015778;0.45454545454545453;0;0;0;0;0;0;1.0223765432098764;1.9259259259259256;0;0;0;0;0;0
0;1;2;4;1;0.07513148009015778;0.07671948637388157;1.3409090909090908;0.07513148009015778;0.45454545454545453;0;0;0;0;1;0;1.1321324448146604;1.4045189504373177;0;0;0;0;1;0
0;1;2;4;6;0.07513148009015778;0.07671948637388157;1.3409090909090908;0.07513148009015778;0.45454545454545453;0;0;0;1;3;0.0634765625;1.6171875;1.465625;0;0;0;0;2;0
0;1;2;4;8;0.19907407407407404;0.11072530864197529;1.277391975308642;0.05787037037037036;0.5;0;0;0;1;3;0.17832647462277096;0.37673372961438806;1.4243484224965706;0;0;0;0;2;0
0;1;2;4;10;0.19907407407407404;0.11072530864197529;1.2773919753086418;0.05787037037037036;0.5;0;0;0;0;5;0.13;0.5;1.18;0.22000000000000003;0;0;0;1;0
0;1;2;4;12;0.40418752844788347;0.17586043906025703;1.4478747242743601;0.04551661356395084;0.5384615384615384;0;0;0;0;10;0;0.7550279104134716;1.0366265965439518;0.22739225462741616;0;0;0;1;0
0;1;2;4;13;0.9288888888888889;0.11666666666666667;1.1833333333333333;0.11851851851851851;0.6;0;0;0;1;12;0.09767092411720513;0.8028823167816406;0.9409090909090909;0.06818181818181818;0;0;0;2;0
0;1;2;4;14;0.9288888888888889;0.11666666666666667;1.1833333333333333;0.11851851851851851;0.6;0;0;0;2;14;0.232349537037037;0.8331886574074074;1.2657407407407406;0.18880208333333334;0;2.1025;3.28515625;2;0
0;1;2;4;15;0.80322265625;0.3102874755859375;1.087371826171875;0.14453125;0.625;0;0;0;2;17;0;1.4020704732510287;1.049074074074074;0.38286072530864196;0;1.885;2.9453125;2;0
0;1;2;4;18;0.9147160594341542;0.3367266914907628;1.2138234695465808;0.12553429676368816;0.6470588235294118;0;0;0;1;28;0.7228038233955393;2.634332589087325;1.3509208361051783;0.5821224747032667;0;0;0;2;0
0;1;2;4;18;0.9147160594341542;0.3367266914907628;1.213823469546581;0.12553429676368816;0.6470588235294118;0;0;0;1;28;0.6457725947521865;2.0933985839233653;1.3939035818408996;0.38383746355685133;0;0;0;2;0
0;1;2;4;19;0.9570473251028808;0.3016880048773053;1.3258459076360312;0.25600137174211246;0.6666666666666666;0;0;0;0;32;0.5133333333333333;1.9512345679012342;1.9372839506172839;0.4018518518518518;0;0;0;2;0
0;1;2;4;0;0;0.22698244655419716;1.127535687453043;0;0.45454545454545453;0;0;0;1;0;0;0.2;1;0;0;0;0;0;0
0;1;2;4;0;0;0.22698244655419716;1.127535687453043;0;0.45454545454545453;0;0;0;1;0;0;0.2;1;0;0;0;0;0;0
0;1;2;4;0;0;0.22698244655419716;1.127535687453043;0;0.45454545454545453;0;0;0;1;0;0;0.2;1;0;0;0;0;0;0
0;1;2;4;0;0;0.22698244655419716;1.127535687453043;0;0.45454545454545453;0;0;0;1;0;0;0.2;1;0;0;0;0;0;0
0;1;2;4;0;0;0.22698244655419716;1.127535687453043;0;0.45454545454545453;0;0;0;1;0;0;0.2;1;0;0;0;0;0;1
0;1;2;4;0;0;0.22698244655419716;1.127535687453043;0;0.45454545454545453;0;0;0;1;0;0;0.2;1;0;0;0;0;0;1
