vs;MaltheMCTS/Settings11_AdditionalMoveFiltering/NO_additionalFilter;MaltheMCTS/Settings11_AdditionalMoveFiltering/additionalFilter;Total Winrate %
MaltheMCTS/Settings11_AdditionalMoveFiltering/NO_additionalFilter;0;53.33;53.333333333333336
MaltheMCTS/Settings11_AdditionalMoveFiltering/additionalFilter;46.67;0;46.666666666666664
